phone_name,review_url,image_url,image_alt
Poco F8 Ultra review,https://www.gsmarena.com/poco_f8_ultra-review-2906.php,https://fdn.gsmarena.com/imgroot/reviews/25/poco-f8-ultra/-347x151/gsmarena_001.jpg,
iQOO 15 review,https://www.gsmarena.com/iqoo_15-review-2905.php,https://fdn.gsmarena.com/imgroot/reviews/25/iqoo-15/-347x151/gsmarena_001.jpg,
Motorola Edge 70 review,https://www.gsmarena.com/motorola_edge_70-review-2899.php,https://fdn.gsmarena.com/imgroot/reviews/25/motorola-edge-70/-347x151/gsmarena_002.jpg,
Realme GT 8 Pro review,https://www.gsmarena.com/realme_gt_8_pro-review-2903.php,https://fdn.gsmarena.com/imgroot/reviews/25/realme-gt-8-pro/-347x151/gsmarena_001.jpg,
RedMagic 11 Pro review,https://www.gsmarena.com/nubia_redmagic_11_pro-review-2902.php,https://fdn.gsmarena.com/imgroot/reviews/25/nubia-redmagic-11-pro/-347x151/gsmarena_0000.jpg,
Honor Magic8 Pro hands-on review,https://www.gsmarena.com/honor_magic8_pro_hands_on-review-2900.php,https://fdn.gsmarena.com/imgroot/reviews/25/honor-magic-8-pro-hands-on/-347x151/gsmarena_001.jpg,
OnePlus 15 review,https://www.gsmarena.com/oneplus_15-review-2898.php,https://fdn.gsmarena.com/imgroot/reviews/25/oneplus-15/-347x151/gsmarena_000.jpg,
nubia Z80 Ultra review,https://www.gsmarena.com/nubia_z80_ultra-review-2901.php,https://fdn.gsmarena.com/imgroot/reviews/25/nubia-z80-ultra/-347x151/gsmarena_002.jpg,
vivo X300 review,https://www.gsmarena.com/vivo_x300-review-2897.php,https://fdn.gsmarena.com/imgroot/reviews/25/vivo-x300/-347x151/gsmarena_002.jpg,
vivo X300 Pro review,https://www.gsmarena.com/vivo_x300_pro-review-2896.php,https://fdn.gsmarena.com/imgroot/reviews/25/vivo-x300-pro/-347x151/gsmarena_001.jpg,
Xiaomi 17 Pro Max review,https://www.gsmarena.com/xiaomi_17_pro_max-review-2895.php,https://fdn.gsmarena.com/imgroot/reviews/25/xiaomi-17-pro-max/-347x151/gsmarena_000.jpg,
Oppo Find X9 Pro review,https://www.gsmarena.com/oppo_find_x9_pro-review-2894.php,https://fdn.gsmarena.com/imgroot/reviews/25/oppo-find-x9-pro/-347x151/gsmarena_001.jpg,
